question,answer,type,columns_used,column_types,sample_answer,dataset,query
"On average, what's the minimum temperature during winters?",2.7196082770831027,number,"[season, tmin]","['category', 'number[double]']",,023_Climate,"df.loc[df['season'] == 'Winter', 'tmin'].mean()"
Are there any female respondents who belong to the ESTE NUTS1 region?,TRUE,boolean,"[SEXO, NUTS1]","['category', 'category']",TRUE,024_Salary,((df['SEXO'] == 'Female') & (df['NUTS1'] == 'ESTE')).any()
"On average, what's the RETRINOIN value for male respondents?",29370.243704368546,number,"[SEXO, RETRINOIN]","['category', 'number[double]']",26024.99571,024_Salary,df[df['SEXO'] == 'Male']['RETRINOIN'].mean()
What is the lowest ranking value in the dataset?,11,number,['Ranking'],['number[uint8]'],11,025_Data,df['Ranking'].max()
List the bottom 2 competition levels of URLs with ranking better than 5.,"['Medium', 'Unknown']",list[category],"['Ranking', 'Competition']","['number[uint8]', 'category']","[High, High]",025_Data,df[df['Ranking'] < 5]['Competition'].value_counts().tail(2).index.tolist()
What are the lowest 4 rankings associated with the keyword 'no code data science'?,"[10, 9, 8, 7]",list[number],"['Keyword', 'Ranking']","['category', 'number[uint8]']","[10, 9, 6, 4]",025_Data,df[df['Keyword'] == 'no code data science']['Ranking'].nlargest(4).tolist()
List the bottom 3 average monthly searches for URLs with medium competition.,"[50, 50, 50]",list[number],"['Competition', 'Avg. monthly searches']","['category', 'number[uint8]']","[50, 50, 50]",025_Data,df[df['Competition'] == 'Medium']['Avg. monthly searches'].nsmallest(3).tolist()
Provide the lowest 5 rankings of URLs with low competition (if any).,"[11, 10, 10, 9, 9]",list[number],"['Competition', 'Ranking']","['category', 'number[uint8]']","[11, 8, 6, 6, 5]",025_Data,df[df['Competition'] == 'Low']['Ranking'].nlargest(5).tolist()
List the diabetes outcomes of the bottom 2 individuals with the lowest BMI.,"[0, 0]",list[category],"['BMI', 'Outcome']","['number[double]', 'number[uint8]']","[0, 0]",028_Predict,"df.loc[df['BMI'] > 0].nsmallest(2, 'BMI')['Outcome'].tolist()"
What is the material type of the article with the longest headline?,News,category,"['headline', 'material_type']","['text', 'category']",News,029_NYTimes,"df.loc[df['headline'].astype(str).str.len().eq(96),'material_type'].iloc[0]"
What is the material type of the article with the least number of keywords?,News,category,"['keywords', 'material_type']","['list[category]', 'category']",News,029_NYTimes,"df.loc[df['keywords'].apply(lambda x: len(x) if isinstance(x,list) else 0).idxmin(),'material_type']"
List the material types of the bottom 4 articles with the least number of keywords.,"['News', 'News', 'News', 'News']",list[category],"['keywords', 'material_type']","['list[category]', 'category']","['News', 'Interactive Feature', 'News', 'News']",029_NYTimes,"df.loc[df['keywords'].apply(lambda x: len(x) if isinstance(x,list) else 0).sort_values().head(4).index, 'material_type'].tolist()"
How many participants are from the United Kingdom?,450,number,['In which country do you currently reside?'],['category'],1,030_Professionals,df[df['In which country do you currently reside?'] == 'United Kingdom of Great Britain and Northern Ireland'].shape[0]
What are the best 4 unique ratings given to 'Wise'?,"[5, 4, 2, 1]",list[number],"['rating', 'Company']","['number[uint8]', 'category']","[5, 4, 2]",031_Trustpilot,df[df['Company'] == 'Wise']['rating'].unique().tolist()[:4]
What are the bottom 5 unique ratings given to 'N26'?,"[1, 2, 3, 4, 5]",list[number],"['rating', 'Company']","['number[uint8]', 'category']","[1, 3, 4, 5]",031_Trustpilot,df[df['Company'] == 'N26']['rating'].unique().tolist()[:5]
