question,dataset_id,columns,query
Identify the 5 largest total amounts paid for trips.,004_Taxi,"VendorID; uint8, tpep_pickup_datetime; datetime64[us, UTC], tpep_dropoff_datetime; datetime64[us, UTC], passenger_count; uint8, trip_distance; float64, RatecodeID; uint8, store_and_fwd_flag; category, PULocationID; uint16, DOLocationID; uint16, payment_type; uint8, fare_amount; float64, extra; float64, mta_tax; float64, tip_amount; float64, tolls_amount; uint8, improvement_surcharge; float64, total_amount; float64, congestion_surcharge; float64, Airport_fee; float64, airport_fee; category",FALSE
Are there any complaints made in Brooklyn?,005_NYC,"segmentation_1; object, descriptor; category, complaint_type; category, created_date; datetime64[us, UTC], borough; category, hour; uint8, month_name; category, weekday_name; category, agency; category, resolution_description; category, agency_name; category, city; category, location_type; category, incident_zip; float64, incident_address; object, street_name; category, cross_street_1; category, cross_street_2; category, intersection_street_1; category, intersection_street_2; category, address_type; category, landmark; category, facility_type; category, status; category, due_date; datetime64[us, UTC], resolution_action_updated_date; datetime64[us, UTC], community_board; category, x_coordinate; float64, y_coordinate; float64, park_facility_name; category, park_borough; category, bbl; float64, open_data_channel_type; category, vehicle_type; category, taxi_company_borough; category, taxi_pickup_location; category, bridge_highway_name; category, bridge_highway_direction; category, road_ramp; category, bridge_highway_segment; category, latitude; float64, longitude; float64, location; object, unique_key; uint32, Unnamed_0; uint32, closed_date; datetime64[us, UTC]",FALSE
Is the Mayor's office of special enforcement one of the agencies handling complaints?,005_NYC,"segmentation_1; object, descriptor; category, complaint_type; category, created_date; datetime64[us, UTC], borough; category, hour; uint8, month_name; category, weekday_name; category, agency; category, resolution_description; category, agency_name; category, city; category, location_type; category, incident_zip; float64, incident_address; object, street_name; category, cross_street_1; category, cross_street_2; category, intersection_street_1; category, intersection_street_2; category, address_type; category, landmark; category, facility_type; category, status; category, due_date; datetime64[us, UTC], resolution_action_updated_date; datetime64[us, UTC], community_board; category, x_coordinate; float64, y_coordinate; float64, park_facility_name; category, park_borough; category, bbl; float64, open_data_channel_type; category, vehicle_type; category, taxi_company_borough; category, taxi_pickup_location; category, bridge_highway_name; category, bridge_highway_direction; category, road_ramp; category, bridge_highway_segment; category, latitude; float64, longitude; float64, location; object, unique_key; uint32, Unnamed_0; uint32, closed_date; datetime64[us, UTC]",FALSE
How many complaints have been made in Queens?,005_NYC,"segmentation_1; object, descriptor; category, complaint_type; category, created_date; datetime64[us, UTC], borough; category, hour; uint8, month_name; category, weekday_name; category, agency; category, resolution_description; category, agency_name; category, city; category, location_type; category, incident_zip; float64, incident_address; object, street_name; category, cross_street_1; category, cross_street_2; category, intersection_street_1; category, intersection_street_2; category, address_type; category, landmark; category, facility_type; category, status; category, due_date; datetime64[us, UTC], resolution_action_updated_date; datetime64[us, UTC], community_board; category, x_coordinate; float64, y_coordinate; float64, park_facility_name; category, park_borough; category, bbl; float64, open_data_channel_type; category, vehicle_type; category, taxi_company_borough; category, taxi_pickup_location; category, bridge_highway_name; category, bridge_highway_direction; category, road_ramp; category, bridge_highway_segment; category, latitude; float64, longitude; float64, location; object, unique_key; uint32, Unnamed_0; uint32, closed_date; datetime64[us, UTC]",Error: 'Queens'
Name the 2 least frequent descriptors for complaints by inverse alphabetical order.,005_NYC,"segmentation_1; object, descriptor; category, complaint_type; category, created_date; datetime64[us, UTC], borough; category, hour; uint8, month_name; category, weekday_name; category, agency; category, resolution_description; category, agency_name; category, city; category, location_type; category, incident_zip; float64, incident_address; object, street_name; category, cross_street_1; category, cross_street_2; category, intersection_street_1; category, intersection_street_2; category, address_type; category, landmark; category, facility_type; category, status; category, due_date; datetime64[us, UTC], resolution_action_updated_date; datetime64[us, UTC], community_board; category, x_coordinate; float64, y_coordinate; float64, park_facility_name; category, park_borough; category, bbl; float64, open_data_channel_type; category, vehicle_type; category, taxi_company_borough; category, taxi_pickup_location; category, bridge_highway_name; category, bridge_highway_direction; category, road_ramp; category, bridge_highway_segment; category, latitude; float64, longitude; float64, location; object, unique_key; uint32, Unnamed_0; uint32, closed_date; datetime64[us, UTC]",FALSE
Which 2 hours see the least complaints?,005_NYC,"segmentation_1; object, descriptor; category, complaint_type; category, created_date; datetime64[us, UTC], borough; category, hour; uint8, month_name; category, weekday_name; category, agency; category, resolution_description; category, agency_name; category, city; category, location_type; category, incident_zip; float64, incident_address; object, street_name; category, cross_street_1; category, cross_street_2; category, intersection_street_1; category, intersection_street_2; category, address_type; category, landmark; category, facility_type; category, status; category, due_date; datetime64[us, UTC], resolution_action_updated_date; datetime64[us, UTC], community_board; category, x_coordinate; float64, y_coordinate; float64, park_facility_name; category, park_borough; category, bbl; float64, open_data_channel_type; category, vehicle_type; category, taxi_company_borough; category, taxi_pickup_location; category, bridge_highway_name; category, bridge_highway_direction; category, road_ramp; category, bridge_highway_segment; category, latitude; float64, longitude; float64, location; object, unique_key; uint32, Unnamed_0; uint32, closed_date; datetime64[us, UTC]",FALSE
How many listings don't have a valid price?,006_London,"neighbourhood_cleansed; category, host_neighbourhood; category, price; category, room_type; category, reviews_per_month; float64, property_type; category, bedrooms; float64, host_verifications; object, host_acceptance_rate; category, host_identity_verified; category, beds; float64, amenities; object, minimum_nights; uint16, last_review; datetime64[us, UTC], review_scores_rating; float64, instant_bookable; category, calculated_host_listings_count; uint16, first_review; datetime64[us, UTC], number_of_reviews; uint16, accommodates; uint8, listing_url; category, last_scraped; datetime64[us, UTC], source; category, name; object, description; object, neighborhood_overview; object, picture_url; category, host_id; uint32, host_name; category, host_since; datetime64[us, UTC], host_location; category, host_about; object, host_response_time; category, host_response_rate; category, host_is_superhost; category, host_thumbnail_url; category, host_picture_url; category, host_listings_count; float64, host_total_listings_count; float64, host_has_profile_pic; category, neighbourhood; category, latitude; float64, longitude; float64, bathrooms; category, bathrooms_text; category, maximum_nights; uint32, minimum_minimum_nights; float64, maximum_minimum_nights; float64, minimum_maximum_nights; float64, maximum_maximum_nights; float64, minimum_nights_avg_ntm; float64, maximum_nights_avg_ntm; float64, calendar_updated; category, has_availability; category, availability_30; uint8, availability_60; uint8, availability_90; uint8, availability_365; uint16, calendar_last_scraped; datetime64[us, UTC], number_of_reviews_ltm; uint16, number_of_reviews_l30d; uint8, review_scores_accuracy; float64, review_scores_cleanliness; float64, review_scores_checkin; float64, review_scores_communication; float64, review_scores_location; float64, review_scores_value; float64, license; category, calculated_host_listings_count_entire_homes; uint16, calculated_host_listings_count_private_rooms; uint8, calculated_host_listings_count_shared_rooms; uint8, x; float64, y; float64, price_M0jI; category",FALSE
Which host verification method is the least used?,006_London,"neighbourhood_cleansed; category, host_neighbourhood; category, price; category, room_type; category, reviews_per_month; float64, property_type; category, bedrooms; float64, host_verifications; object, host_acceptance_rate; category, host_identity_verified; category, beds; float64, amenities; object, minimum_nights; uint16, last_review; datetime64[us, UTC], review_scores_rating; float64, instant_bookable; category, calculated_host_listings_count; uint16, first_review; datetime64[us, UTC], number_of_reviews; uint16, accommodates; uint8, listing_url; category, last_scraped; datetime64[us, UTC], source; category, name; object, description; object, neighborhood_overview; object, picture_url; category, host_id; uint32, host_name; category, host_since; datetime64[us, UTC], host_location; category, host_about; object, host_response_time; category, host_response_rate; category, host_is_superhost; category, host_thumbnail_url; category, host_picture_url; category, host_listings_count; float64, host_total_listings_count; float64, host_has_profile_pic; category, neighbourhood; category, latitude; float64, longitude; float64, bathrooms; category, bathrooms_text; category, maximum_nights; uint32, minimum_minimum_nights; float64, maximum_minimum_nights; float64, minimum_maximum_nights; float64, maximum_maximum_nights; float64, minimum_nights_avg_ntm; float64, maximum_nights_avg_ntm; float64, calendar_updated; category, has_availability; category, availability_30; uint8, availability_60; uint8, availability_90; uint8, availability_365; uint16, calendar_last_scraped; datetime64[us, UTC], number_of_reviews_ltm; uint16, number_of_reviews_l30d; uint8, review_scores_accuracy; float64, review_scores_cleanliness; float64, review_scores_checkin; float64, review_scores_communication; float64, review_scores_location; float64, review_scores_value; float64, license; category, calculated_host_listings_count_entire_homes; uint16, calculated_host_listings_count_private_rooms; uint8, calculated_host_listings_count_shared_rooms; uint8, x; float64, y; float64, price_M0jI; category",FALSE
List the 2 most common host verification methods.,006_London,"neighbourhood_cleansed; category, host_neighbourhood; category, price; category, room_type; category, reviews_per_month; float64, property_type; category, bedrooms; float64, host_verifications; object, host_acceptance_rate; category, host_identity_verified; category, beds; float64, amenities; object, minimum_nights; uint16, last_review; datetime64[us, UTC], review_scores_rating; float64, instant_bookable; category, calculated_host_listings_count; uint16, first_review; datetime64[us, UTC], number_of_reviews; uint16, accommodates; uint8, listing_url; category, last_scraped; datetime64[us, UTC], source; category, name; object, description; object, neighborhood_overview; object, picture_url; category, host_id; uint32, host_name; category, host_since; datetime64[us, UTC], host_location; category, host_about; object, host_response_time; category, host_response_rate; category, host_is_superhost; category, host_thumbnail_url; category, host_picture_url; category, host_listings_count; float64, host_total_listings_count; float64, host_has_profile_pic; category, neighbourhood; category, latitude; float64, longitude; float64, bathrooms; category, bathrooms_text; category, maximum_nights; uint32, minimum_minimum_nights; float64, maximum_minimum_nights; float64, minimum_maximum_nights; float64, maximum_maximum_nights; float64, minimum_nights_avg_ntm; float64, maximum_nights_avg_ntm; float64, calendar_updated; category, has_availability; category, availability_30; uint8, availability_60; uint8, availability_90; uint8, availability_365; uint16, calendar_last_scraped; datetime64[us, UTC], number_of_reviews_ltm; uint16, number_of_reviews_l30d; uint8, review_scores_accuracy; float64, review_scores_cleanliness; float64, review_scores_checkin; float64, review_scores_communication; float64, review_scores_location; float64, review_scores_value; float64, license; category, calculated_host_listings_count_entire_homes; uint16, calculated_host_listings_count_private_rooms; uint8, calculated_host_listings_count_shared_rooms; uint8, x; float64, y; float64, price_M0jI; category",FALSE
Are there any players who are taller than 6 feet and have an agility score above 90?,007_Fifa,"ID<gx:number>; uint32, Name<gx:text>; category, Age<gx:number>; uint8, Photo<gx:url>; category, Nationality<gx:category>; category, Overall<gx:number>; uint8, Potential<gx:number>; uint8, Club<gx:category>; category, Value_â‚¬<gx:currency>; uint32, Wage_â‚¬<gx:currency>; uint32, Preferred Foot<gx:category>; category, International Reputation<gx:number>; uint8, Weak Foot<gx:number>; uint8, Skill Moves<gx:number>; uint8, Work Rate<gx:category>; category, Position<gx:category>; category, Joined<gx:date>; category, Contract Valid Until<gx:date>; category, Height_ft<gx:number>; float64, Weight_lbs<gx:number>; uint8, Crossing<gx:number>; uint8, Finishing<gx:number>; uint8, HeadingAccuracy<gx:number>; uint8, ShortPassing<gx:number>; uint8, Volleys<gx:number>; uint8, Dribbling<gx:number>; uint8, Curve<gx:number>; uint8, FKAccuracy<gx:number>; uint8, LongPassing<gx:number>; uint8, BallControl<gx:number>; uint8, Acceleration<gx:number>; uint8, SprintSpeed<gx:number>; uint8, Agility<gx:number>; uint8, Reactions<gx:number>; uint8, Balance<gx:number>; uint8, ShotPower<gx:number>; uint8, Jumping<gx:number>; uint8, Stamina<gx:number>; uint8, Strength<gx:number>; uint8, LongShots<gx:number>; uint8, Aggression<gx:number>; uint8, Interceptions<gx:number>; uint8, Positioning<gx:number>; uint8, Vision<gx:number>; uint8, Penalties<gx:number>; uint8, Composure<gx:number>; uint8, Marking<gx:number>; category, StandingTackle<gx:number>; uint8, SlidingTackle<gx:number>; uint8, GKDiving<gx:number>; uint8, GKHandling<gx:number>; uint8, GKKicking<gx:number>; uint8, GKPositioning<gx:number>; uint8, GKReflexes<gx:number>; uint8, Best Position<gx:category>; category, Best Overall Rating<gx:number>; uint8, DefensiveAwareness<gx:number>; uint8, General Postion<gx:category>; category, Legend; bool",Error: 'Height_ft'
Which are the top 5 nationalities in terms of the average overall score of their players?,007_Fifa,"ID<gx:number>; uint32, Name<gx:text>; category, Age<gx:number>; uint8, Photo<gx:url>; category, Nationality<gx:category>; category, Overall<gx:number>; uint8, Potential<gx:number>; uint8, Club<gx:category>; category, Value_â‚¬<gx:currency>; uint32, Wage_â‚¬<gx:currency>; uint32, Preferred Foot<gx:category>; category, International Reputation<gx:number>; uint8, Weak Foot<gx:number>; uint8, Skill Moves<gx:number>; uint8, Work Rate<gx:category>; category, Position<gx:category>; category, Joined<gx:date>; category, Contract Valid Until<gx:date>; category, Height_ft<gx:number>; float64, Weight_lbs<gx:number>; uint8, Crossing<gx:number>; uint8, Finishing<gx:number>; uint8, HeadingAccuracy<gx:number>; uint8, ShortPassing<gx:number>; uint8, Volleys<gx:number>; uint8, Dribbling<gx:number>; uint8, Curve<gx:number>; uint8, FKAccuracy<gx:number>; uint8, LongPassing<gx:number>; uint8, BallControl<gx:number>; uint8, Acceleration<gx:number>; uint8, SprintSpeed<gx:number>; uint8, Agility<gx:number>; uint8, Reactions<gx:number>; uint8, Balance<gx:number>; uint8, ShotPower<gx:number>; uint8, Jumping<gx:number>; uint8, Stamina<gx:number>; uint8, Strength<gx:number>; uint8, LongShots<gx:number>; uint8, Aggression<gx:number>; uint8, Interceptions<gx:number>; uint8, Positioning<gx:number>; uint8, Vision<gx:number>; uint8, Penalties<gx:number>; uint8, Composure<gx:number>; uint8, Marking<gx:number>; category, StandingTackle<gx:number>; uint8, SlidingTackle<gx:number>; uint8, GKDiving<gx:number>; uint8, GKHandling<gx:number>; uint8, GKKicking<gx:number>; uint8, GKPositioning<gx:number>; uint8, GKReflexes<gx:number>; uint8, Best Position<gx:category>; category, Best Overall Rating<gx:number>; uint8, DefensiveAwareness<gx:number>; uint8, General Postion<gx:category>; category, Legend; bool",Error: 'Nationality'
Which are the top 6 clubs in terms of the average potential score of their players?,007_Fifa,"ID<gx:number>; uint32, Name<gx:text>; category, Age<gx:number>; uint8, Photo<gx:url>; category, Nationality<gx:category>; category, Overall<gx:number>; uint8, Potential<gx:number>; uint8, Club<gx:category>; category, Value_â‚¬<gx:currency>; uint32, Wage_â‚¬<gx:currency>; uint32, Preferred Foot<gx:category>; category, International Reputation<gx:number>; uint8, Weak Foot<gx:number>; uint8, Skill Moves<gx:number>; uint8, Work Rate<gx:category>; category, Position<gx:category>; category, Joined<gx:date>; category, Contract Valid Until<gx:date>; category, Height_ft<gx:number>; float64, Weight_lbs<gx:number>; uint8, Crossing<gx:number>; uint8, Finishing<gx:number>; uint8, HeadingAccuracy<gx:number>; uint8, ShortPassing<gx:number>; uint8, Volleys<gx:number>; uint8, Dribbling<gx:number>; uint8, Curve<gx:number>; uint8, FKAccuracy<gx:number>; uint8, LongPassing<gx:number>; uint8, BallControl<gx:number>; uint8, Acceleration<gx:number>; uint8, SprintSpeed<gx:number>; uint8, Agility<gx:number>; uint8, Reactions<gx:number>; uint8, Balance<gx:number>; uint8, ShotPower<gx:number>; uint8, Jumping<gx:number>; uint8, Stamina<gx:number>; uint8, Strength<gx:number>; uint8, LongShots<gx:number>; uint8, Aggression<gx:number>; uint8, Interceptions<gx:number>; uint8, Positioning<gx:number>; uint8, Vision<gx:number>; uint8, Penalties<gx:number>; uint8, Composure<gx:number>; uint8, Marking<gx:number>; category, StandingTackle<gx:number>; uint8, SlidingTackle<gx:number>; uint8, GKDiving<gx:number>; uint8, GKHandling<gx:number>; uint8, GKKicking<gx:number>; uint8, GKPositioning<gx:number>; uint8, GKReflexes<gx:number>; uint8, Best Position<gx:category>; category, Best Overall Rating<gx:number>; uint8, DefensiveAwareness<gx:number>; uint8, General Postion<gx:category>; category, Legend; bool",Error: 'Club'
There are no tornadoes that resulted in more than 500 injuries.,008_Tornados,"yr; uint16, mo; uint8, dy; uint8, date; datetime64[us, UTC], st; category, mag; int8, inj; uint16, fat; uint8, slat; float64, slon; float64, elat; float64, elon; float64, len; float64, wid; uint16",FALSE
No tornado has a length greater than 100 miles.,008_Tornados,"yr; uint16, mo; uint8, dy; uint8, date; datetime64[us, UTC], st; category, mag; int8, inj; uint16, fat; uint8, slat; float64, slon; float64, elat; float64, elon; float64, len; float64, wid; uint16",FALSE
There are no tornadoes that resulted in more than 100 fatalities.,008_Tornados,"yr; uint16, mo; uint8, dy; uint8, date; datetime64[us, UTC], st; category, mag; int8, inj; uint16, fat; uint8, slat; float64, slon; float64, elat; float64, elon; float64, len; float64, wid; uint16",FALSE
There were no days when the precipitation was greater than 5 inches.,009_Central,"DATE; datetime64[us, UTC], PRCP; float64, SNOW; float64, SNWD; float64, TMIN; float64, TMAX; float64",FALSE
There were no days when the snow depth was more than 10 inches.,009_Central,"DATE; datetime64[us, UTC], PRCP; float64, SNOW; float64, SNWD; float64, TMIN; float64, TMAX; float64",FALSE
What are the three most common incident descriptions?,011_SF,"Incident Datetime; object, Incident Date; datetime64[us, UTC], Incident Time; category, Incident Year; uint16, Incident Day of Week; category, Report Datetime; object, Row ID; int64, Incident ID; uint32, Incident Number; uint32, CAD Number; float64, Report Type Code; category, Report Type Description; category, Filed Online; object, Incident Code; uint32, Incident Category; category, Incident Subcategory; category, Incident Description; category, Resolution; category, Intersection; category, CNN; float64, Police District; category, Analysis Neighborhood; category, Supervisor District; float64, Supervisor District 2012; float64, Latitude; float64, Longitude; float64, Point; category, Neighborhoods; float64, ESNCAG - Boundary File; float64, Central Market/Tenderloin Boundary Polygon - Updated; float64, Civic Center Harm Reduction Project Boundary; float64, HSOC Zones as of 2018-06-05; float64, Invest In Neighborhoods (IIN) Areas; category, Current Supervisor Districts; float64, Current Police Districts; float64",FALSE
Which 3 incident years have the lowest number of online filed reports? If two have the same number choose the latest year,011_SF,"Incident Datetime; object, Incident Date; datetime64[us, UTC], Incident Time; category, Incident Year; uint16, Incident Day of Week; category, Report Datetime; object, Row ID; int64, Incident ID; uint32, Incident Number; uint32, CAD Number; float64, Report Type Code; category, Report Type Description; category, Filed Online; object, Incident Code; uint32, Incident Category; category, Incident Subcategory; category, Incident Description; category, Resolution; category, Intersection; category, CNN; float64, Police District; category, Analysis Neighborhood; category, Supervisor District; float64, Supervisor District 2012; float64, Latitude; float64, Longitude; float64, Point; category, Neighborhoods; float64, ESNCAG - Boundary File; float64, Central Market/Tenderloin Boundary Polygon - Updated; float64, Civic Center Harm Reduction Project Boundary; float64, HSOC Zones as of 2018-06-05; float64, Invest In Neighborhoods (IIN) Areas; category, Current Supervisor Districts; float64, Current Police Districts; float64",Error: Cannot mask with non-boolean array containing NA / NaN values
What are the 4 most common chest pain types among male patients?,012_Heart,"Age; uint8, Sex; category, ChestPainType; category, RestingBP; uint8, Cholesterol; uint16, FastingBS; uint8, RestingECG; category, MaxHR; uint8, ExerciseAngina; category, Oldpeak; float64, ST_Slope; category, HeartDisease; uint8",FALSE
Did the oldest roller coaster in the dataset still operate?,013_Roller,"coaster_name; category, Length; category, Speed; object, Location; category, Status; category, Opening date; category, Type; category, Manufacturer; category, Height restriction; category, Model; category, Height; category, Inversions; float64, Lift/launch system; category, Cost; category, Trains; object, Park section; category, Duration; category, Capacity; object, G-force; category, Designer; category, Max vertical angle; category, Drop; category, Soft opening date; category, Fast Lane available; category, Replaced; category, Track layout; category, Fastrack available; category, Soft opening date.1; category, Closing date; category, Opened; category, Replaced by; category, Website; category, Flash Pass Available; category, Must transfer from wheelchair; category, Theme; category, Single rider line available; category, Restraint Style; category, Flash Pass available; category, Acceleration; object, Restraints; category, Name; category, year_introduced; uint16, latitude; float64, longitude; float64, Type_Main; category, opening_date_clean; datetime64[us, UTC], speed1; category, speed2; category, speed1_value; float64, speed1_unit; category, speed_mph; float64, height_value; float64, height_unit; category, height_ft; float64, Inversions_clean; uint8, Gforce_clean; float64",FALSE
What type of the roller coaster is the oldest in the dataset?,013_Roller,"coaster_name; category, Length; category, Speed; object, Location; category, Status; category, Opening date; category, Type; category, Manufacturer; category, Height restriction; category, Model; category, Height; category, Inversions; float64, Lift/launch system; category, Cost; category, Trains; object, Park section; category, Duration; category, Capacity; object, G-force; category, Designer; category, Max vertical angle; category, Drop; category, Soft opening date; category, Fast Lane available; category, Replaced; category, Track layout; category, Fastrack available; category, Soft opening date.1; category, Closing date; category, Opened; category, Replaced by; category, Website; category, Flash Pass Available; category, Must transfer from wheelchair; category, Theme; category, Single rider line available; category, Restraint Style; category, Flash Pass available; category, Acceleration; object, Restraints; category, Name; category, year_introduced; uint16, latitude; float64, longitude; float64, Type_Main; category, opening_date_clean; datetime64[us, UTC], speed1; category, speed2; category, speed1_value; float64, speed1_unit; category, speed_mph; float64, height_value; float64, height_unit; category, height_ft; float64, Inversions_clean; uint8, Gforce_clean; float64",Error: '<' not supported between instances of 'float' and 'str'
Name the 4 oldest roller coasters in the dataset.,013_Roller,"coaster_name; category, Length; category, Speed; object, Location; category, Status; category, Opening date; category, Type; category, Manufacturer; category, Height restriction; category, Model; category, Height; category, Inversions; float64, Lift/launch system; category, Cost; category, Trains; object, Park section; category, Duration; category, Capacity; object, G-force; category, Designer; category, Max vertical angle; category, Drop; category, Soft opening date; category, Fast Lane available; category, Replaced; category, Track layout; category, Fastrack available; category, Soft opening date.1; category, Closing date; category, Opened; category, Replaced by; category, Website; category, Flash Pass Available; category, Must transfer from wheelchair; category, Theme; category, Single rider line available; category, Restraint Style; category, Flash Pass available; category, Acceleration; object, Restraints; category, Name; category, year_introduced; uint16, latitude; float64, longitude; float64, Type_Main; category, opening_date_clean; datetime64[us, UTC], speed1; category, speed2; category, speed1_value; float64, speed1_unit; category, speed_mph; float64, height_value; float64, height_unit; category, height_ft; float64, Inversions_clean; uint8, Gforce_clean; float64",FALSE
Name the introduction years of the 6 oldest roller coasters in the dataset.,013_Roller,"coaster_name; category, Length; category, Speed; object, Location; category, Status; category, Opening date; category, Type; category, Manufacturer; category, Height restriction; category, Model; category, Height; category, Inversions; float64, Lift/launch system; category, Cost; category, Trains; object, Park section; category, Duration; category, Capacity; object, G-force; category, Designer; category, Max vertical angle; category, Drop; category, Soft opening date; category, Fast Lane available; category, Replaced; category, Track layout; category, Fastrack available; category, Soft opening date.1; category, Closing date; category, Opened; category, Replaced by; category, Website; category, Flash Pass Available; category, Must transfer from wheelchair; category, Theme; category, Single rider line available; category, Restraint Style; category, Flash Pass available; category, Acceleration; object, Restraints; category, Name; category, year_introduced; uint16, latitude; float64, longitude; float64, Type_Main; category, opening_date_clean; datetime64[us, UTC], speed1; category, speed2; category, speed1_value; float64, speed1_unit; category, speed_mph; float64, height_value; float64, height_unit; category, height_ft; float64, Inversions_clean; uint8, Gforce_clean; float64",FALSE
